Position,Coverage +,SPC +,T +,T + (close),pvalue +,padj +,Coverage -,SPC -,T -,T - (close),pvalue -,padj -
1,69,0,0.0099,0.0099,1.00e+00,1.00e+00,114,0,0.01,0.01,1.00e+00,1.00e+00
2,69,0,0.0099,0.0099,1.00e+00,1.00e+00,114,0,0.01,0.01,1.00e+00,1.00e+00
3,69,0,0.0099,0.0099,1.00e+00,1.00e+00,115,0,0.01,0.01,1.00e+00,1.00e+00
4,69,0,0.0099,0.0099,1.00e+00,1.00e+00,115,0,0.01,0.01,1.00e+00,1.00e+00
5,69,0,0.0099,0.0099,1.00e+00,1.00e+00,115,0,0.01,0.01,1.00e+00,1.00e+00
6,69,0,0.0099,0.0099,1.00e+00,1.00e+00,116,0,0.01,0.01,1.00e+00,1.00e+00
7,69,0,0.0099,0.0099,1.00e+00,1.00e+00,117,1,0.0085,0.0085,2.94e-01,1.00e+00
8,69,0,0.0099,0.0099,1.00e+00,1.00e+00,118,0,0.01,0.01,1.00e+00,1.00e+00
9,69,0,0.0099,0.0099,1.00e+00,1.00e+00,118,0,0.01,0.01,1.00e+00,1.00e+00
10,70,2,0.0099,0.0099,1.22e-01,1.00e+00,118,0,0.01,0.01,1.00e+00,1.00e+00
11,69,0,0.0099,0.0099,1.00e+00,1.00e+00,118,0,0.01,0.01,1.00e+00,1.00e+00
12,68,0,0.0099,0.0099,1.00e+00,1.00e+00,119,1,0.0084,0.0084,2.94e-01,1.00e+00
13,68,0,0.0099,0.0099,1.00e+00,1.00e+00,118,0,0.01,0.01,1.00e+00,1.00e+00
14,68,0,0.0099,0.0099,1.00e+00,1.00e+00,119,0,0.01,0.01,1.00e+00,1.00e+00
15,67,0,0.0099,0.0099,1.00e+00,1.00e+00,119,0,0.01,0.01,1.00e+00,1.00e+00
16,67,0,0.0099,0.0099,1.00e+00,1.00e+00,121,0,0.01,0.01,1.00e+00,1.00e+00
17,68,1,0.0099,0.0099,2.65e-01,1.00e+00,123,1,0.0081,0.0081,2.94e-01,1.00e+00
18,67,0,0.0099,0.0099,1.00e+00,1.00e+00,123,2,0.016,0.016,1.60e-01,1.00e+00
19,68,1,0.0099,0.0099,2.65e-01,1.00e+00,121,0,0.01,0.01,1.00e+00,1.00e+00
20,69,1,0.0099,0.0099,2.65e-01,1.00e+00,122,0,0.01,0.01,1.00e+00,1.00e+00
21,69,0,0.0099,0.0099,1.00e+00,1.00e+00,123,0,0.01,0.01,1.00e+00,1.00e+00
22,69,0,0.0099,0.0099,1.00e+00,1.00e+00,123,1,0.0081,0.0081,2.94e-01,1.00e+00
23,69,0,0.0099,0.0099,1.00e+00,1.00e+00,122,2,0.016,0.016,1.60e-01,1.00e+00
24,66,0,0.0099,0.0099,1.00e+00,1.00e+00,120,0,0.01,0.01,1.00e+00,1.00e+00
25,66,0,0.0099,0.0099,1.00e+00,1.00e+00,120,4,0.033,0.033,5.39e-02,1.00e+00
26,66,0,0.0099,0.0099,1.00e+00,1.00e+00,116,0,0.01,0.01,1.00e+00,1.00e+00
27,67,1,0.0099,0.0099,2.65e-01,1.00e+00,116,1,0.0086,0.0086,2.94e-01,1.00e+00
28,68,1,0.0099,0.0099,2.65e-01,1.00e+00,122,4,0.033,0.033,5.39e-02,1.00e+00
29,69,2,0.0099,0.0099,1.22e-01,1.00e+00,119,1,0.0084,0.0084,2.94e-01,1.00e+00
30,69,0,0.0099,0.0099,1.00e+00,1.00e+00,118,0,0.01,0.01,1.00e+00,1.00e+00
31,69,0,0.0099,0.0099,1.00e+00,1.00e+00,120,0,0.01,0.01,1.00e+00,1.00e+00
32,68,1,0.0099,0.0099,2.65e-01,1.00e+00,120,0,0.01,0.01,1.00e+00,1.00e+00
33,68,0,0.0099,0.0099,1.00e+00,1.00e+00,120,0,0.01,0.01,1.00e+00,1.00e+00
34,68,0,0.0099,0.0099,1.00e+00,1.00e+00,120,0,0.01,0.01,1.00e+00,1.00e+00
35,68,0,0.0099,0.0099,1.00e+00,1.00e+00,120,0,0.01,0.01,1.00e+00,1.00e+00
36,71,3,0.0099,0.0099,6.28e-02,1.00e+00,120,5,0.042,0.042,3.21e-02,1.00e+00
37,71,0,0.0099,0.0099,1.00e+00,1.00e+00,115,1,0.0087,0.0087,2.94e-01,1.00e+00
38,72,1,0.0099,0.0099,2.65e-01,1.00e+00,116,7,0.06,0.06,1.17e-02,1.00e+00
39,71,0,0.0099,0.0099,1.00e+00,1.00e+00,110,3,0.027,0.027,9.17e-02,1.00e+00
40,70,0,0.0099,0.0099,1.00e+00,1.00e+00,107,0,0.01,0.01,1.00e+00,1.00e+00
41,75,6,0.0099,0.0099,1.08e-02,1.00e+00,107,0,0.01,0.01,1.00e+00,1.00e+00
42,75,0,0.0099,0.0099,1.00e+00,1.00e+00,107,0,0.01,0.01,1.00e+00,1.00e+00
43,75,1,0.0099,0.0099,2.65e-01,1.00e+00,107,0,0.01,0.01,1.00e+00,1.00e+00
44,74,0,0.0099,0.0099,1.00e+00,1.00e+00,107,6,0.056,0.056,1.93e-02,1.00e+00
45,73,0,0.0099,0.0099,1.00e+00,1.00e+00,104,2,0.019,0.019,1.60e-01,1.00e+00
46,80,7,0.0099,0.0099,6.17e-03,1.00e+00,102,0,0.01,0.01,1.00e+00,1.00e+00
47,80,0,0.0099,0.0099,1.00e+00,1.00e+00,102,2,0.02,0.02,1.60e-01,1.00e+00
48,83,3,0.0099,0.0099,6.28e-02,1.00e+00,101,1,0.0099,0.0099,2.94e-01,1.00e+00
49,83,0,0.0099,0.0099,1.00e+00,1.00e+00,100,2,0.02,0.02,1.60e-01,1.00e+00
